173540.jpg,1,920.34,309.14,937.92,324.88,-1,-1
173540.jpg,0,252.31,297.88,323.19,377.62,0,5
173540.jpg,0,390.15,324.27,474.32,422.36,0,3
173540.jpg,0,675.56,226.81,725.56,310.98,0,4
173540.jpg,0,528.70,220.48,582.53,290.73,0,2
173540.jpg,0,397.11,214.15,451.53,273.01,0,1
173540.jpg,0,955.91,240.10,999.58,327.43,1,5
173540.jpg,0,1129.95,302.12,1184.37,402.74,1,2
173540.jpg,0,1121.10,208.46,1158.42,284.40,1,3
173540.jpg,0,1357.80,260.98,1422.95,340.10,1,4
173540.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173574.jpg,1,920.25,309.17,937.83,324.91,-1,-1
173574.jpg,0,252.35,297.88,323.21,377.61,0,5
173574.jpg,0,390.14,324.27,474.31,422.36,0,3
173574.jpg,0,675.57,226.84,725.58,310.97,0,4
173574.jpg,0,528.57,220.52,582.41,290.77,0,2
173574.jpg,0,396.37,214.44,450.80,273.30,0,1
173574.jpg,0,955.03,240.18,998.69,327.51,1,5
173574.jpg,0,1129.85,302.12,1184.52,402.82,1,2
173574.jpg,0,1120.38,208.07,1157.85,284.01,1,3
173574.jpg,0,1357.52,260.95,1422.48,340.06,1,4
173574.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173607.jpg,1,920.16,309.20,937.74,324.94,-1,-1
173607.jpg,0,252.39,297.87,323.23,377.61,0,5
173607.jpg,0,390.14,324.27,474.31,422.36,0,3
173607.jpg,0,675.57,226.86,725.61,310.96,0,4
173607.jpg,0,528.45,220.56,582.28,290.81,0,2
173607.jpg,0,395.63,214.73,450.06,273.59,0,1
173607.jpg,0,954.14,240.25,997.81,327.59,1,5
173607.jpg,0,1129.75,302.12,1184.68,402.89,1,2
173607.jpg,0,1119.67,207.68,1157.27,283.63,1,3
173607.jpg,0,1357.24,260.91,1422.01,340.03,1,4
173607.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173640.jpg,1,920.06,309.23,937.64,324.97,-1,-1
173640.jpg,0,252.43,297.87,323.24,377.61,0,5
173640.jpg,0,390.14,324.27,474.31,422.36,0,3
173640.jpg,0,675.58,226.89,725.64,310.96,0,4
173640.jpg,0,528.32,220.60,582.15,290.85,0,2
173640.jpg,0,394.90,215.02,449.32,273.88,0,1
173640.jpg,0,953.25,240.33,996.92,327.66,1,5
173640.jpg,0,1129.65,302.12,1184.83,402.97,1,2
173640.jpg,0,1118.95,207.30,1156.69,283.24,1,3
173640.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173674.jpg,1,919.97,309.26,937.55,325.00,-1,-1
173674.jpg,0,252.46,297.87,323.26,377.61,0,5
173674.jpg,0,390.14,324.27,474.30,422.36,0,3
173674.jpg,0,675.58,226.92,725.67,310.95,0,4
173674.jpg,0,528.19,220.64,582.02,290.89,0,2
173674.jpg,0,394.16,215.31,448.58,274.17,0,1
173674.jpg,0,952.37,240.41,996.03,327.74,1,5
173674.jpg,0,1129.56,302.12,1184.99,403.05,1,2
173674.jpg,0,1118.24,206.91,1156.11,282.86,1,3
173674.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173707.jpg,1,919.87,309.29,937.45,325.03,-1,-1
173707.jpg,0,252.50,297.87,323.28,377.60,0,5
173707.jpg,0,390.13,324.27,474.30,422.36,0,3
173707.jpg,0,675.59,226.95,725.69,310.94,0,4
173707.jpg,0,528.06,220.68,581.90,290.93,0,2
173707.jpg,0,393.42,215.60,447.85,274.46,0,1
173707.jpg,0,951.48,240.48,995.15,327.82,1,5
173707.jpg,0,1129.46,302.12,1185.14,403.12,1,2
173707.jpg,0,1117.52,206.53,1155.53,282.47,1,3
173707.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173740.jpg,1,919.78,309.32,937.36,325.06,-1,-1
173740.jpg,0,252.54,297.86,323.30,377.60,0,5
173740.jpg,0,390.13,324.27,474.30,422.36,0,3
173740.jpg,0,675.59,226.97,725.72,310.93,0,4
173740.jpg,0,527.94,220.72,581.77,290.97,0,2
173740.jpg,0,392.68,215.89,447.11,274.75,0,1
173740.jpg,0,950.59,240.56,994.26,327.89,1,5
173740.jpg,0,1129.36,302.12,1185.30,403.20,1,2
173740.jpg,0,1116.81,206.14,1154.95,282.08,1,3
173740.jpg,0,1534.33,274.91,1597.62,345.78,1,1
173774.jpg,1,919.69,309.34,937.26,325.08,-1,-1
173774.jpg,0,252.58,297.86,323.31,377.60,0,5
173774.jpg,0,390.13,324.27,474.30,422.37,0,3
173774.jpg,0,675.60,227.00,725.75,310.93,0,4
